anio,sexo,porc_poblacion,nivel_instruccion
2012,TOTAL,2.1895786608545342,Primario incompleto
2012,TOTAL,6.642132892483429,Primario completo
2012,TOTAL,13.436106041606916,Secundario incompleto
2012,TOTAL,17.99265519869227,Secundario completo
2012,TOTAL,24.981459135679522,Superior incompleto
2012,TOTAL,34.75806807068333,Superior completo
2012,m,2.5862314120541843,Primario incompleto
2012,m,5.700055115519148,Primario completo
2012,m,10.080587826647475,Secundario incompleto
2012,m,16.77367021960894,Secundario completo
2012,m,25.638872826694868,Superior incompleto
2012,m,39.220582599475385,Superior completo
2012,v,1.8354026301915811,Primario incompleto
2012,v,7.483325514019143,Primario completo
2012,v,16.432288769691368,Secundario incompleto
2012,v,19.081101604329806,Secundario completo
2012,v,24.3944465134726,Superior incompleto
2012,v,30.773434968295497,Superior completo
2013,TOTAL,2.2,Primario incompleto
2013,TOTAL,7.0,Primario completo
2013,TOTAL,11.9,Secundario incompleto
2013,TOTAL,19.6,Secundario completo
2013,TOTAL,23.5,Superior incompleto
2013,TOTAL,35.8,Superior completo
2013,m,2.2,Primario incompleto
2013,m,6.2,Primario completo
2013,m,8.9,Secundario incompleto
2013,m,17.9,Secundario completo
2013,m,22.6,Superior incompleto
2013,m,42.3,Superior completo
2013,v,2.2,Primario incompleto
2013,v,7.7,Primario completo
2013,v,14.6,Secundario incompleto
2013,v,21.2,Secundario completo
2013,v,24.3,Superior incompleto
2013,v,30.1,Superior completo
2014,TOTAL,2.3,Primario incompleto
2014,TOTAL,7.2,Primario completo
2014,TOTAL,13.4,Secundario incompleto
2014,TOTAL,17.8,Secundario completo
2014,TOTAL,22.6,Superior incompleto
2014,TOTAL,36.8,Superior completo
2014,m,2.0,Primario incompleto
2014,m,6.1,Primario completo
2014,m,10.7,Secundario incompleto
2014,m,16.9,Secundario completo
2014,m,21.4,Superior incompleto
2014,m,42.9,Superior completo
2014,v,2.5,Primario incompleto
2014,v,8.2,Primario completo
2014,v,15.7,Secundario incompleto
2014,v,18.7,Secundario completo
2014,v,23.7,Superior incompleto
2014,v,31.3,Superior completo
2015,TOTAL,1.8,Primario incompleto
2015,TOTAL,6.6,Primario completo
2015,TOTAL,11.0,Secundario incompleto
2015,TOTAL,20.4,Secundario completo
2015,TOTAL,22.9,Superior incompleto
2015,TOTAL,37.2,Superior completo
2015,m,2.0,Primario incompleto
2015,m,5.6,Primario completo
2015,m,8.3,Secundario incompleto
2015,m,18.4,Secundario completo
2015,m,22.8,Superior incompleto
2015,m,42.8,Superior completo
2015,v,1.7,Primario incompleto
2015,v,7.5,Primario completo
2015,v,13.4,Secundario incompleto
2015,v,22.2,Secundario completo
2015,v,23.1,Superior incompleto
2015,v,32.1,Superior completo
2016,TOTAL,2.0,Primario incompleto
2016,TOTAL,5.8,Primario completo
2016,TOTAL,11.6,Secundario incompleto
2016,TOTAL,19.1,Secundario completo
2016,TOTAL,22.5,Superior incompleto
2016,TOTAL,38.9,Superior completo
2016,m,2.1,Primario incompleto
2016,m,5.5,Primario completo
2016,m,9.1,Secundario incompleto
2016,m,17.2,Secundario completo
2016,m,21.1,Superior incompleto
2016,m,45.0,Superior completo
2016,v,2.0,Primario incompleto
2016,v,6.1,Primario completo
2016,v,13.9,Secundario incompleto
2016,v,20.8,Secundario completo
2016,v,23.9,Superior incompleto
2016,v,33.3,Superior completo
2017,TOTAL,1.7,Primario incompleto
2017,TOTAL,5.5,Primario completo
2017,TOTAL,11.1,Secundario incompleto
2017,TOTAL,18.9,Secundario completo
2017,TOTAL,22.4,Superior incompleto
2017,TOTAL,40.5,Superior completo
2017,m,1.7,Primario incompleto
2017,m,5.0,Primario completo
2017,m,8.1,Secundario incompleto
2017,m,16.7,Secundario completo
2017,m,22.1,Superior incompleto
2017,m,46.4,Superior completo
2017,v,1.6,Primario incompleto
2017,v,6.0,Primario completo
2017,v,13.8,Secundario incompleto
2017,v,20.9,Secundario completo
2017,v,22.6,Superior incompleto
2017,v,35.1,Superior completo
2018,TOTAL,1.6,Primario incompleto
2018,TOTAL,4.8,Primario completo
2018,TOTAL,10.3,Secundario incompleto
2018,TOTAL,17.6,Secundario completo
2018,TOTAL,23.9,Superior incompleto
2018,TOTAL,41.8,Superior completo
2018,m,1.5,Primario incompleto
2018,m,4.5,Primario completo
2018,m,7.9,Secundario incompleto
2018,m,14.9,Secundario completo
2018,m,23.4,Superior incompleto
2018,m,47.8,Superior completo
2018,v,1.8,Primario incompleto
2018,v,5.1,Primario completo
2018,v,12.6,Secundario incompleto
2018,v,20,Secundario completo
2018,v,24.4,Superior incompleto
2018,v,36.1,Superior completo
2019,TOTAL,1.3,Primario incompleto
2019,TOTAL,4.6,Primario completo
2019,TOTAL,10.7,Secundario incompleto
2019,TOTAL,17.2,Secundario completo
2019,TOTAL,23.3,Superior incompleto
2019,TOTAL,42.9,Superior completo
2019,m,1.1,Primario incompleto
2019,m,3.9,Primario completo
2019,m,9.5,Secundario incompleto
2019,m,14.3,Secundario completo
2019,m,22.9,Superior incompleto
2019,m,48.3,Superior completo
2019,v,1.5,Primario incompleto
2019,v,5.3,Primario completo
2019,v,11.8,Secundario incompleto
2019,v,19.9,Secundario completo
2019,v,23.7,Superior incompleto
2019,v,37.8,Superior completo
